id;numero_cliente;nombre;apellido;fecha_nacimiento;tipo_documento;numero_documento;email;telefono
1;17830;yahoo beneath readily;ridge;2025-10-23;RESIDENCIA;sustenance;Nicolas.Sporer4@hotmail.com;er
2;16847;geez that whoa;best partially;2025-10-23;DNI;bin briskly loosely;Americo90@gmail.com;guidance within shrill
3;4899;after noisily;yet plus absent;2025-10-23;RESIDENCIA;pivot entire wherever;Kailee_Barton6@yahoo.com;rebel oh gah
4;26133;huzzah worth;glow;2025-10-23;DNI;supposing afore;Hunter16@hotmail.com;beard
5;5301;firsthand;curly usable;2025-10-23;DNI;accessorise punctually;Elsie.Nicolas60@hotmail.com;ugly
6;26499;via;knowledgeable sometimes drain;2025-10-23;DNI;than fatally even;Ari_Goodwin59@gmail.com;ack
7;30945;hype from;wherever excluding amidst;2025-10-23;PASAPORTE;segregate first worriedly;August_Fay@yahoo.com;petty absentmindedly dramatic
8;3704;as kissingly;vacation repeatedly quit;2025-10-23;DNI;gray on;Antoinette30@hotmail.com;jump whose
9;10070;vast powerfully;boldly however;2025-10-23;RESIDENCIA;knavishly mean depute;Alphonso.Wuckert@gmail.com;woot lest joshingly
10;2490;gee;duh yet;2025-10-23;PASAPORTE;often er;Yasmine_Dibbert17@yahoo.com;petal in
