id;numero_cuenta;fecha_apertura;monto_otorgado;saldo_pendiente;estado;fecha_cierre
1;basic;2025-10-22T21:47:55;1046.26;22286.85;VENCIDA;2025-10-23T19:06:35
2;with;2025-10-22T21:52:12;4907.7;9111.82;ACTIVA;2025-10-23T18:29:29
3;heavily phew;2025-10-23T06:56:30;18178.19;7439.17;COBRANZA;2025-10-23T16:37:33
4;liberalize maestro;2025-10-23T12:31:41;16126.75;2144.72;PAGADA;2025-10-23T14:34:38
5;ha boohoo oof;2025-10-23T02:06:05;18328.42;11893.34;COBRANZA;2025-10-23T03:41:27
6;apropos viciously;2025-10-23T14:25:55;21472.57;28230.44;CANCELADA;2025-10-23T03:49:43
7;at;2025-10-23T05:15:57;13406.79;970.08;COBRANZA;2025-10-23T08:24:34
8;petal less trustworthy;2025-10-23T05:31:19;15181.54;7647.42;PAGADA;2025-10-23T14:13:09
9;meanwhile qua;2025-10-22T21:08:46;6129.39;12613.58;ACTIVA;2025-10-23T10:43:40
10;quarterly usher;2025-10-23T16:47:40;2767.43;1674.31;PAGADA;2025-10-22T23:47:34
